time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1679557815648615000,-14.725385009765626,573.3702087402344,-1,-1,47.41023938560482,526.7802085876465,-1,35,27.101917266845703,8.506764414053526,-1
1679557824648615000,-5.725385009765625,573.3702087402344,-1,-1,47.41023938560482,526.7802085876465,-1,35,27.101917266845703,8.506764414053526,-1
1679557830387252000,0.013251953125,573.3701934814453,-1,-1,47.410385619733596,526.7801933288574,-1,51,39.04680252075195,8.506697977199705,-1
1679557831534155000,1.160155029296875,651.65576171875,0.9700000286102295,47.88562640297524,47.40996027369742,605.0657615661621,272.8125,20.754218679771313,24,8.50634476170736,0.2800000011920929
1679557832015237000,1.641237060546875,572.250732421875,0.9700000286102295,52.560962606835254,47.41028113295083,525.6607322692871,272.8125,10.659155175009126,3,8.506787158556754,0
1679557833018119200,2.644119140625,578.290771484375,0.7099999785423279,98.94838360027362,47.410304728008256,531.7007713317871,193.359375,8.441881593497692,6,8.506813645370777,0
1679557834019830000,3.645830078125,584.255126953125,0.7200000286102295,99.0145066616285,47.41031281654482,537.6651268005371,165.9375,7.239574532060316,6,8.506815992303665,0
1679557835020701000,4.646700927734375,591.5478515625,0.7799999713897705,89.2282662603476,47.410317594229625,544.9578514099121,22.8515625,5.7122758172226895,6,8.506801491611178,0.2199999988079071
1679557836023094000,5.649093994140625,595.73291015625,1.0399999618530273,92.93203879062456,47.410321533724115,549.1429100036621,37.6171875,6.015001603326402,8,8.506794534631545,0.23000000417232513
1679557837000147700,6.626147705078125,601.0045166015625,0.7200000286102295,87.39373209079554,47.41032857452278,554.4145164489746,27.7734375,4.874846735031843,8,8.506789756946738,0.23000000417232513
1679557838000151000,7.626151123046875,603.717041015625,0.8399999737739563,86.74729566698885,47.41033381321226,557.1270408630371,33.75,4.417093112083386,8,8.506784141071613,0.23000000417232513
1679557839000127700,8.626127685546875,605.829345703125,0.7799999713897705,81.40619701906559,47.41033565723096,559.2393455505371,202.1484375,3.8304158022994614,6,8.506776010625536,0.27000001072883606
1679557840000131000,9.626131103515625,606.2021484375,1.1799999475479126,58.42107366940943,47.41033058617954,559.6121482849121,202.5,4.728502560471371,6,8.506764611237223,0.3199999928474426
1679557841000131000,10.626131103515625,606.4041748046875,0.7099999785423279,83.24073118861766,47.41032576658522,559.8141746520996,199.6875,3.921815501729849,6,8.506756061695988,0.27000001072883606
1679557842000103400,11.626103515625,606.5660400390625,0.7099999785423279,94.34175568436935,47.41032341965233,559.9760398864746,198.28125,4.10095410307173,6,8.506751619287307,0
1679557843000102700,12.6261025390625,606.520263671875,0.7099999785423279,98.7322764149344,47.41032006689106,559.9302635192871,158.90625,4.304917297525396,6,8.506748098887975,0
1679557844000103000,13.62610302734375,606.5202637286857,0.7938041080220186,-1,47.410320066891344,559.9302635760978,-1,4.500626772345744,6.001453599931562,8.506748098887972,0
1679557845000074000,14.626073974609374,606.5202637286857,0.7938041080220186,-1,47.410320066891344,559.9302635760978,-1,4.50238652851927,6.001440760905568,8.506748098887972,0
1679557846000068000,15.626068115234375,606.5202637286857,0.7938041080220186,-1,47.410320066891344,559.9302635760978,-1,4.549498335969186,6.001095154373283,8.506748098887972,0
1679557847000073200,16.6260732421875,606.5202637286857,0.307972206397111,-1,47.410320066891344,559.9302635760978,-1,4.485478761321311,6.001563912420863,8.506748098887972,0
1679557848000051200,17.62605126953125,606.5202637286857,0.307972206397111,-1,47.410320066891344,559.9302635760978,-1,4.502075273778876,6.001443032362794,8.506748098887972,0
1679557849000059100,18.62605908203125,606.5202637286857,0.307972206397111,-1,47.410320066891344,559.9302635760978,-1,4.439528050660489,6.001896250954893,8.506748098887972,0
1679557850000064000,19.62606396484375,606.5202637286857,0.307972206397111,-1,47.410320066891344,559.9302635760978,-1,4.419764116497766,6.002038135527578,8.506748098887972,0
1679557851000039700,20.626039794921876,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.383020521581187,6.002300221518916,8.50673368201452,0
1679557852000014300,21.626014404296875,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.2884039675616386,6.00296499171596,8.50673368201452,0
1679557852999989500,22.625989501953125,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.243038723659155,6.003278554347648,8.50673368201452,0
1679557853999964700,23.625964599609375,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.237002533947794,6.003320023697558,8.50673368201452,0
1679557854999940900,24.62594091796875,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.24015875204659,6.0032983475760835,8.50673368201452,0
1679557855999916000,25.625916015625,607.2104492755607,0.7938041080220186,-1,47.41027803164695,560.6204491229728,-1,4.224854909109552,6.0034032994570605,8.50673368201452,0
1679557856999893200,26.625893310546875,607.2104492755607,0.307972206397111,-1,47.41027803164695,560.6204491229728,-1,4.214072415138761,6.00347701548223,8.50673368201452,0
1679557857999869000,27.625868896484373,607.2104492755607,0.307972206397111,-1,47.41027803164695,560.6204491229728,-1,4.206277657447015,6.003530187558136,8.50673368201452,0
1679557858999846100,28.62584619140625,607.2104492755607,0.307972206397111,-1,47.41027803164695,560.6204491229728,-1,4.194206277908423,6.003612337481997,8.50673368201452,0
1679557859999822300,29.625822265625,607.2104492755607,0.307972206397111,-1,47.41027803164695,560.6204491229728,-1,4.190182943681132,6.0036396649590245,8.50673368201452,0
