time,seconds_elapsed,relativeAltitude,pressure
1679557829851100200,-0.52289990234375,0,951.2835693359375
1679557830851871200,0.477871337890625,0.02642822265625,951.280517578125
1679557831852592000,1.478592041015625,0.0528564453125,951.2774658203125
1679557832853295000,2.479295166015625,0.0528564453125,951.2774658203125
1679557833854057000,3.480056884765625,0.01055908203125,951.2821197509766
1679557834211334100,3.837334228515625,-0.3197021484375,951.3201141357422
1679557835278735000,4.904735107421875,-0.33026123046875,951.3211059570312
1679557836346109200,5.972109130859375,-0.40692138671875,951.3298034667969
1679557837413538300,7.039538330078125,-0.40692138671875,951.3298034667969
1679557838480975000,8.10697509765625,-0.3514404296875,951.3236999511719
1679557839548450300,9.1744501953125,-0.163818359375,951.3022613525391
1679557840615894000,10.24189404296875,0.0369873046875,951.2791442871094
1679557841683296300,11.309296142578125,0.10040283203125,951.2720489501953
1679557842750735400,12.3767353515625,0.10040283203125,951.2720489501953
1679557843818139100,13.44413916015625,0.0687255859375,951.2754821777344
1679557844885521200,14.511521240234375,0.05023193359375,951.2776184082031
1679557845952925200,15.57892529296875,0.0238037109375,951.2807464599609
1679557847020345000,16.646344970703126,0.0238037109375,951.2807464599609
1679557848087729200,17.713729248046874,0.0396728515625,951.2790679931641
1679557849155145200,18.781145263671874,0.0396728515625,951.2790679931641
1679557850222560300,19.848560302734374,0.04229736328125,951.2787628173828
1679557851290003000,20.9160029296875,0.047607421875,951.2779998779297
1679557852357451300,21.983451171875,0.047607421875,951.2779998779297
1679557853424855300,23.050855224609375,0.029052734375,951.2801361083984
1679557854492236000,24.118236083984375,0.0238037109375,951.2806701660156
1679557855559634200,25.18563427734375,0.00531005859375,951.2828063964844
1679557856626990000,26.252989990234376,-0.0211181640625,951.2859344482422
1679557857694330000,27.320330078125,-0.02374267578125,951.2863159179688
1679557858761711000,28.387711181640626,-0.03167724609375,951.2870025634766
1679557859829024000,29.45502392578125,-0.02374267578125,951.2863159179688
1679557860896407000,30.522406982421874,-0.01318359375,951.2848663330078
1679557861963784200,31.5897841796875,-0.0052490234375,951.2841033935547
1679557863031134200,32.65713427734375,0,951.2834167480469
1679557864098548200,33.72454833984375,0.002685546875,951.2832641601562
1679557865165963300,34.79196337890625,0,951.2834167480469
1679557866233345300,35.85934521484375,-0.0211181640625,951.2857818603516
1679557867300726300,36.92672631835938,-0.029052734375,951.2866973876953
1679557868368109300,37.994109375,-0.03436279296875,951.2872314453125
1679557869435453200,39.061453125,-0.03961181640625,951.2881469726562
1679557870502845200,40.12884521484375,-0.03961181640625,951.2881469726562
1679557871570153200,41.1961533203125,-0.03961181640625,951.2881469726562
1679557872637438000,42.26343798828125,-0.03436279296875,951.2873840332031
1679557873704701200,43.330701171875,-0.03436279296875,951.2873840332031
1679557874771966200,44.39796630859375,-0.03436279296875,951.2873840332031
1679557875839258000,45.46525805664062,-0.03961181640625,951.2879180908203
1679557876906578200,46.532578125,-0.044921875,951.2887573242188
1679557877973885200,47.59988525390625,-0.05548095703125,951.2896728515625
1679557879041179100,48.66717919921875,-0.05548095703125,951.2897491455078
1679557880108522200,49.734522216796876,-0.05548095703125,951.2897491455078
1679557881175754000,50.80175390625,-0.029052734375,951.2868499755859
1679557882243046400,51.86904638671875,-0.0211181640625,951.2857818603516
1679557883310259200,52.93625927734375,-0.0211181640625,951.2857818603516
1679557884377538300,54.00353833007812,-0.0211181640625,951.2857818603516
1679557885444878000,55.07087817382813,-0.01849365234375,951.2857055664062
1679557886512216000,56.138216064453125,-0.01849365234375,951.2857055664062
1679557887579487000,57.20548706054687,-0.01849365234375,951.2854766845703
1679557888646731300,58.27273120117187,-0.01055908203125,951.2845611572266
1679557889713955000,59.339955078125,-0.00262451171875,951.2837982177734
1679557890781215200,60.40721533203125,-0.00262451171875,951.2837982177734
1679557891848501200,61.474501220703125,-0.01580810546875,951.2852478027344
1679557892915790000,62.5417900390625,-0.029052734375,951.28662109375
1679557893983012000,63.60901220703125,-0.029052734375,951.28662109375
1679557895050254000,64.67625415039062,-0.029052734375,951.28662109375
1679557896117493200,65.7434931640625,-0.0079345703125,951.2844848632812
1679557897184703200,66.810703125,-0.00262451171875,951.2836456298828
1679557898251882000,67.87788208007812,0.0079345703125,951.2825012207031
1679557899319120100,68.9451201171875,0.0079345703125,951.2825012207031
1679557900386363400,70.01236328125,0.0079345703125,951.2826538085938
1679557901453578200,71.079578125,0.0079345703125,951.2826538085938
1679557902520840200,72.14684008789062,0.03436279296875,951.2796020507812
1679557903588093200,73.21409326171874,0.044921875,951.2782287597656
1679557904655283200,74.281283203125,0.06610107421875,951.2757873535156
1679557905722459100,75.34845922851562,0.10040283203125,951.27197265625
1679557906789625000,76.415625,0.10040283203125,951.27197265625
1679557907856821000,77.48282104492188,0.0977783203125,951.2722778320312
1679557908923984400,78.549984375,0.09515380859375,951.2726593017578
1679557909991184100,79.61718408203124,0.0845947265625,951.2737274169922
1679557911058366000,80.68436596679688,0.06341552734375,951.2763214111328
1679557912125536300,81.75153637695313,0.060791015625,951.2765502929688
1679557913192737000,82.81873706054688,0.05023193359375,951.2776184082031
1679557914260000300,83.88600024414062,0.044921875,951.2782287597656
1679557915327232000,84.95323193359376,0.044921875,951.2782287597656
1679557916394510300,86.02051025390625,0.0369873046875,951.2791442871094
1679557917461765400,87.08776538085938,0.047607421875,951.2781524658203
1679557918529025000,88.15502490234375,0.05816650390625,951.27685546875
1679557919596213000,89.222212890625,0.073974609375,951.2749481201172
1679557920663491300,90.2894912109375,0.07928466796875,951.2745666503906
