time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1679068248793000000,1.594,24.354000091552734,0,0,586.5,8.5104485,47.4072629
1679068253712000000,6.513,24.79599952697754,0.17057351768016815,316.6023254394531,586.5,8.5104323,47.4072745
1679068255456392700,8.257392822265626,21.118999481201172,18.9630069732666,26.515642166137695,586.5,8.510777,47.4077378
1679068256147412500,8.94841259765625,19.41200065612793,0.0623808316886425,0,586.5,8.5108034,47.4077579
1679068257130799400,9.93179931640625,18.30900001525879,0.005321605131030083,0,586.5,8.5108253,47.4077802
1679068258143402200,10.94440234375,17.847000122070312,0.0037798609118908644,0,586.5,8.5108347,47.40779
1679068258722000000,11.522999755859376,17.503999710083008,0.01285712793469429,0,586.5,8.5108377,47.4077931
1679068259132569000,11.933569091796874,17.253000259399414,0.0076756225898861885,0,586.5,8.5108421,47.4077977
1679068260132835600,12.933835693359375,17.216999053955078,0.0021408621687442064,0,586.5,8.510845,47.4078008
1679068261142818800,13.94381884765625,17.073999404907227,0.00116839655674994,0,586.5,8.5108474,47.4078033
1679068262139021000,14.94002099609375,17.420000076293945,0.0007538876379840076,0,586.5,8.510849,47.4078049
1679068263134597600,15.93559765625,17.073999404907227,0.0005418714717961848,0,586.5,8.5108502,47.4078061
1679068263835000000,16.636,17.350000381469727,0.0017765528755262494,0,586.5,8.5108506,47.4078065
1679068264173886700,16.97488671875,17.18400001525879,0.0009940831223502755,0,586.5,8.5108512,47.4078071
1679068265134664700,17.935664794921873,16.517000198364258,0.0003371160419192165,0,586.5,8.5108517,47.4078076
1679068266151157200,18.9521572265625,16.18400001525879,0.00014967675087973475,0,586.5,8.510852,47.4078078
1679068267145216500,19.946216552734374,15.517000198364258,0.00010551584273343906,0,586.5,8.5108523,47.407808
1679068268120992800,20.92199267578125,15.015000343322754,0.00006281978858169168,0,586.5,8.5108524,47.4078081
1679068268754000000,21.554999755859374,15.76200008392334,0.00017565501912031323,0,586.5,8.5108524,47.4078082
1679068269149124600,21.95012451171875,14.031999588012695,0.00010458321048645303,0,586.5,8.5108525,47.4078082
1679068270144395500,22.9453955078125,13.871000289916992,0.00002612607931951061,0,586.5,8.5108525,47.4078082
1679068271134731500,23.9357314453125,13.746999740600586,0.000011677036127366591,0,586.5,8.5108526,47.4078083
1679068272139509800,24.940509765625,13.461000442504883,0.000007328046194743365,0,586.5,8.5108526,47.4078083
1679068273156052200,25.95705224609375,13.704000473022461,0.000004312797955208225,0,586.5,8.5108526,47.4078083
1679068273880000000,26.681,13.901000022888184,0.000012236017028044444,0,586.5,8.5108526,47.4078083
1679068274127423000,26.928423095703124,13.77299976348877,0.000005721749403164722,0,586.5,8.5108526,47.4078083
1679068275167307800,27.968307861328125,13.901000022888184,0.000001821026216930477,0,586.5,8.5108526,47.4078083
1679068276150387700,28.9513876953125,14.067999839782715,7.534416113230691e-7,0,586.5,8.5108526,47.4078083
1679068277144024800,29.94502490234375,14.401000022888184,4.4820441758020024e-7,0,586.5,8.5108526,47.4078083
1679068278144719600,30.9457197265625,14.343999862670898,2.8369797178129375e-7,0,586.5,8.5108526,47.4078083
1679068278787000000,31.588,15.821999549865723,8.756750276006642e-7,0,586.5,8.5108526,47.4078083
1679068279146204400,31.947204345703124,14.890999794006348,5.468737072078511e-7,0,586.5,8.5108526,47.4078083
1679068280154275000,32.955275146484375,14.477999687194824,1.6349072495813743e-7,0,586.5,8.5108526,47.4078083
1679068281156819700,33.95781982421875,14.390999794006348,8.105852344897357e-8,0,586.5,8.5108526,47.4078083
1679068282145656000,34.946656005859374,13.890999794006348,4.398601305410921e-8,0,586.5,8.5108526,47.4078083
1679068283164459800,35.96545971679687,13.390999794006348,2.4446382695941793e-8,0,586.5,8.5108526,47.4078083
1679068283932000000,36.733,13.163000106811523,6.560373577713108e-8,0,586.5,8.5108526,47.4078083
1679068284121145300,36.92214526367187,12.996000289916992,2.7889297982142125e-8,0,586.5,8.5108526,47.4078083
1679068285159215000,37.960215087890624,13.163000106811523,7.96092614052668e-9,0,586.5,8.5108526,47.4078083
1679068286146075000,38.94707495117188,13.281999588012695,3.6671925496278845e-9,0,586.5,8.5108526,47.4078083
1679068287153067300,39.9540673828125,13.996000289916992,2.4047595026388535e-9,0,586.5,8.5108526,47.4078083
1679068288156312600,40.9573125,13.854000091552734,1.4825286553943329e-9,0,586.5,8.5108526,47.4078083
1679068289149358300,41.9503583984375,13,9.887970442434835e-10,0,586.5,8.5108526,47.4078083
1679068290186995700,42.98799560546875,12.833000183105469,2.408433175116187e-10,0,586.5,8.5108526,47.4078083
1679068291160534800,43.96153466796875,12.5,2.5391824753917547e-10,0,586.5,8.5108526,47.4078083
1679068292154929000,44.95592895507812,12.333000183105469,1.626222212447459e-10,0,586.5,8.5108526,47.4078083
1679068293155490800,45.95649072265625,12.142000198364258,1.0605743366864928e-10,0,586.5,8.5108526,47.4078083
1679068293967000000,46.768,13.36400032043457,2.886047234529343e-10,0,586.5,8.5108526,47.4078083
1679068294143518700,46.94451879882813,13.07800006866455,1.427385570851314e-10,0,586.5,8.5108526,47.4078083
1679068295173792000,47.9747919921875,12.791999816894531,4.146525137138646e-11,0,586.5,8.5108526,47.4078083
1679068296160316200,48.96131616210938,12.506999969482422,1.6843566472135585e-11,0,586.5,8.5108526,47.4078083
1679068297172445700,49.97344580078125,12.423999786376953,8.926632870387419e-12,0,586.5,8.5108526,47.4078083
1679068298174124500,50.97512451171875,12.423999786376953,4.98863233708291e-12,0,586.5,8.5108526,47.4078083
