time,seconds_elapsed,z,y,x
1679068599804471600,352.60547143554686,6.539999961853027,-26.34000015258789,-7.37999963760376
1679068599824430600,352.6254306640625,6.359999656677246,-26.459999084472656,-7.199999809265137
1679068599844449500,352.6454494628906,6.359999656677246,-26.34000015258789,-7.259999752044678
1679068599865445600,352.6664455566406,6.960000038146973,-26.639999389648438,-7.679999828338623
1679068599886258400,352.68725854492186,7.139999866485596,-26.81999969482422,-7.440000057220459
1679068599906461400,352.7074614257813,7.559999942779541,-26.69999885559082,-7.739999771118164
1679068599928433700,352.72943359375,8.15999984741211,-27.35999870300293,-8.039999961853027
1679068599949430500,352.7504304199219,7.559999942779541,-27.239999771118164,-7.919999599456787
1679068599970487600,352.77148754882813,7.859999656677246,-27.65999984741211,-7.919999599456787
1679068599990445600,352.7914455566406,7.859999656677246,-27.959999084472656,-7.799999713897705
1679068600010465500,352.8114655761719,7.559999942779541,-27.84000015258789,-7.440000057220459
1679068600030484500,352.831484375,7.919999599456787,-28.439998626708984,-7.319999694824219
1679068600050442500,352.8514423828125,7.859999656677246,-28.260000228881836,-7.440000057220459
1679068600070462500,352.87146240234375,7.919999599456787,-28.260000228881836,-7.259999752044678
1679068600092435500,352.893435546875,7.619999885559082,-28.439998626708984,-7.319999694824219
1679068600112454700,352.91345458984375,7.679999828338623,-28.19999885559082,-7.079999923706055
1679068600132473600,352.9334736328125,7.259999752044678,-28.079999923706055,-6.71999979019165
1679068600152432600,352.9534326171875,7.019999980926514,-27.899999618530273,-6.599999904632568
1679068600172393500,352.9733935546875,7.079999923706055,-27.299999237060547,-6.480000019073486
1679068600192473600,352.9934736328125,6.839999675750732,-26.81999969482422,-6.420000076293945
1679068600212432600,353.0134326171875,7.259999752044678,-26.8799991607666,-6.480000019073486
1679068600232451600,353.03345166015623,7.019999980926514,-27,-6.119999885559082
1679068600252471600,353.0534714355469,7.5,-27.119998931884766,-6.179999828338623
1679068600272429600,353.0734296875,7.37999963760376,-27.239999771118164,-6.059999942779541
1679068600292449500,353.09344946289065,7.019999980926514,-27.479999542236328,-6
1679068600312468500,353.1134685058594,7.139999866485596,-27.059999465942383,-6.239999771118164
1679068600332427500,353.1334274902344,6.599999904632568,-26.69999885559082,-5.759999752044678
1679068600354460700,353.1554606933594,6.539999961853027,-26.279998779296875,-5.759999752044678
1679068600374480600,353.17548071289065,6.239999771118164,-25.5,-5.819999694824219
1679068600394438700,353.1954387207031,6.359999656677246,-25.5,-6.179999828338623
1679068600414458600,353.2154587402344,6.359999656677246,-25.3799991607666,-6.659999847412109
1679068600434477600,353.2354775390625,6.359999656677246,-24.899999618530273,-6.899999618530273
1679068600454436600,353.2554365234375,6.299999713897705,-24.719999313354492,-6.71999979019165
1679068600474455600,353.27545556640627,5.819999694824219,-24.299999237060547,-6.480000019073486
1679068600494475500,353.2954755859375,5.819999694824219,-24.35999870300293,-6.480000019073486
1679068600514433500,353.31543359375,5.759999752044678,-24.899999618530273,-6.239999771118164
1679068600534392600,353.335392578125,5.87999963760376,-25.139999389648438,-6.659999847412109
1679068600554289700,353.35528955078127,5.87999963760376,-25.559999465942383,-6.659999847412109
1679068600574430500,353.3754304199219,5.759999752044678,-25.559999465942383,-6.480000019073486
1679068600595427600,353.3964274902344,6,-25.85999870300293,-6.779999732971191
1679068600615385600,353.41638549804685,6.179999828338623,-25.979999542236328,-6.480000019073486
1679068600636442600,353.4374426269531,7.139999866485596,-25.85999870300293,-6.960000038146973
1679068600656462600,353.4574626464844,7.679999828338623,-26.34000015258789,-7.37999963760376
1679068600676481500,353.4774814453125,8.039999961853027,-26.459999084472656,-7.440000057220459
1679068600696439600,353.497439453125,8.34000015258789,-26.399999618530273,-7.799999713897705
1679068600717435600,353.518435546875,7.559999942779541,-26.579999923706055,-7.799999713897705
1679068600737455600,353.53845556640624,7.319999694824219,-26.639999389648438,-7.739999771118164
1679068600757474600,353.558474609375,7.259999752044678,-26.81999969482422,-8.279999732971191
1679068600777433600,353.57843359375,7.079999923706055,-26.939998626708984,-8.220000267028809
1679068600798429400,353.5994294433594,7.37999963760376,-26.69999885559082,-8.220000267028809
1679068600819486500,353.62048657226563,7.139999866485596,-26.459999084472656,-8.279999732971191
1679068600840482600,353.64148266601563,6.899999618530273,-25.979999542236328,-7.799999713897705
1679068600860440600,353.6614406738281,6.960000038146973,-25.68000030517578,-7.799999713897705
1679068600880460500,353.6814604492188,6.659999847412109,-25.979999542236328,-7.619999885559082
1679068600902433500,353.70343359375,6.659999847412109,-25.3799991607666,-7.5
1679068600922452500,353.7234523925781,6.599999904632568,-25.3799991607666,-7.440000057220459
1679068600942472400,353.7434724121094,6.239999771118164,-25.619998931884766,-7.619999885559082
1679068600962247700,353.7632475585938,6.480000019073486,-25.799999237060547,-7.559999942779541
1679068600982449700,353.78344970703125,6.480000019073486,-26.15999984741211,-7.440000057220459
1679068601002469600,353.8034697265625,6.539999961853027,-26.279998779296875,-7.739999771118164
1679068601022427600,353.823427734375,7.139999866485596,-26.279998779296875,-7.919999599456787
1679068601043484700,353.84448461914064,7.619999885559082,-26.15999984741211,-7.859999656677246
1679068601063443500,353.864443359375,8.279999732971191,-26.459999084472656,-7.859999656677246
1679068601083401500,353.8844013671875,8.34000015258789,-27,-7.980000019073486
1679068601103482600,353.9044826660156,7.799999713897705,-26.81999969482422,-7.679999828338623
1679068601124478500,353.925478515625,7.559999942779541,-27.119998931884766,-7.799999713897705
1679068601144436500,353.9454365234375,7.5,-26.939998626708984,-7.799999713897705
1679068601164456400,353.96545654296875,7.37999963760376,-26.34000015258789,-7.619999885559082
1679068601184478500,353.985478515625,7.859999656677246,-26.579999923706055,-8.039999961853027
1679068601204436500,354.0054365234375,7.139999866485596,-26.219999313354492,-8.15999984741211
1679068601224456400,354.02545654296875,6.899999618530273,-26.579999923706055,-8.519999504089355
1679068601244475600,354.0454755859375,7.019999980926514,-26.639999389648438,-8.9399995803833
1679068601264434400,354.0654343261719,7.199999809265137,-26.8799991607666,-9.119999885559082
1679068601284453600,354.08545361328123,8.039999961853027,-27.420000076293945,-9.65999984741211
1679068601304473600,354.1054736328125,8.279999732971191,-27.18000030517578,-9.960000038146973
1679068601324431600,354.125431640625,8.220000267028809,-27.059999465942383,-9.779999732971191
1679068601344451600,354.14545166015625,7.619999885559082,-27.239999771118164,-9.719999313354492
1679068601365447700,354.16644775390625,7.139999866485596,-26.69999885559082,-9.239999771118164
1679068601385466600,354.1864665527344,6.71999979019165,-26.579999923706055,-8.9399995803833
1679068601405486600,354.20648657226565,6.779999732971191,-26.399999618530273,-8.9399995803833
1679068601426482400,354.227482421875,6.960000038146973,-25.5,-8.819999694824219
1679068601446440400,354.2474404296875,6.899999618530273,-25.01999855041504,-8.519999504089355
1679068601466399500,354.2673994140625,6.779999732971191,-24.779998779296875,-8.579999923706055
1679068601486418400,354.28741845703127,6.179999828338623,-24.65999984741211,-8.399999618530273
1679068601506437600,354.3074377441406,6.179999828338623,-24.600000381469727,-7.980000019073486
1679068601526457600,354.32745751953127,6.359999656677246,-24.899999618530273,-8.34000015258789
1679068601547453400,354.3484533691406,6.420000076293945,-24.899999618530273,-8.399999618530273
1679068601568449500,354.3694494628906,6.659999847412109,-24.779998779296875,-8.399999618530273
1679068601588469500,354.3894694824219,7.019999980926514,-25.01999855041504,-8.880000114440918
1679068601608427500,354.40942749023435,6.779999732971191,-24.84000015258789,-8.579999923706055
1679068601628446500,354.42944653320313,6.960000038146973,-24.600000381469727,-8.819999694824219
1679068601649442600,354.45044262695313,6.899999618530273,-24.719999313354492,-8.880000114440918
1679068601670377500,354.4713774414063,6.359999656677246,-24.53999900817871,-8.819999694824219
1679068601690458600,354.49145874023435,6.599999904632568,-24.53999900817871,-9.179999351501465
1679068601710294500,354.5112944335938,6.659999847412109,-24.899999618530273,-8.760000228881836
1679068601730436600,354.5314365234375,6.899999618530273,-24.779998779296875,-8.880000114440918
1679068601751432400,354.5524323730469,6.899999618530273,-25.3799991607666,-8.579999923706055
1679068601771451600,354.5724516601563,6.779999732971191,-25.68000030517578,-8.399999618530273
1679068601791471600,354.5924716796875,6.480000019073486,-25.739999771118164,-8.519999504089355
1679068601811429600,354.6124296875,6.480000019073486,-26.51999855041504,-8.460000038146973
1679068601831449600,354.63244970703124,6.839999675750732,-26.34000015258789,-8.699999809265137
1679068601851468500,354.65246850585936,7.440000057220459,-26.760000228881836,-8.880000114440918
1679068601871427600,354.6724274902344,7.859999656677246,-26.939998626708984,-8.519999504089355
1679068601891446500,354.6924465332031,8.460000038146973,-26.639999389648438,-8.220000267028809
1679068601911466500,354.7124665527344,8.039999961853027,-26.459999084472656,-7.859999656677246
1679068601931485400,354.7324853515625,7.559999942779541,-26.399999618530273,-7.440000057220459
1679068601951444500,354.75244458007813,7.440000057220459,-26.34000015258789,-8.09999942779541
1679068601971463700,354.77246362304686,7.559999942779541,-26.639999389648438,-8.399999618530273
1679068601991483600,354.79248364257813,8.15999984741211,-26.639999389648438,-8.699999809265137
1679068602012479500,354.8134794921875,8.819999694824219,-26.760000228881836,-9.359999656677246
1679068602032376600,354.83337646484375,8.9399995803833,-26.939998626708984,-9.119999885559082
1679068602052457500,354.8534575195313,8.519999504089355,-26.8799991607666,-9.119999885559082
1679068602072476700,354.8734765625,8.15999984741211,-27.18000030517578,-9.119999885559082
1679068602092435500,354.893435546875,7.859999656677246,-27,-9
1679068602112454700,354.91345458984375,7.559999942779541,-26.69999885559082,-9.300000190734863
1679068602132473600,354.9334736328125,7.799999713897705,-26.760000228881836,-9.359999656677246
1679068602152432600,354.9534326171875,8.15999984741211,-26.459999084472656,-9.359999656677246
1679068602172393500,354.9733935546875,7.980000019073486,-26.69999885559082,-9.59999942779541
1679068602192473600,354.9934736328125,8.15999984741211,-26.81999969482422,-9.300000190734863
1679068602212432600,355.0134326171875,8.220000267028809,-27.119998931884766,-9.539999961853027
1679068602232451600,355.03345166015623,8.039999961853027,-27.65999984741211,-9.719999313354492
1679068602252471600,355.0534714355469,8.34000015258789,-27.65999984741211,-9.300000190734863
1679068602272429600,355.0734296875,8.819999694824219,-28.079999923706055,-9.420000076293945
1679068602292449500,355.09344946289065,8.639999389648438,-27.899999618530273,-8.9399995803833
1679068602312468500,355.1134685058594,8.460000038146973,-27.779998779296875,-8.399999618530273
1679068602332427500,355.1334274902344,8.09999942779541,-27.65999984741211,-8.519999504089355
1679068602352446500,355.1534465332031,7.739999771118164,-27.239999771118164,-8.399999618530273
1679068602372466400,355.1734665527344,7.5,-26.639999389648438,-8.399999618530273
1679068602392485600,355.1934855957031,7.559999942779541,-26.34000015258789,-8.760000228881836
1679068602413481500,355.2144814453125,7.739999771118164,-26.34000015258789,-9.059999465942383
1679068602433440500,355.2344404296875,7.980000019073486,-26.760000228881836,-9.359999656677246
1679068602453459500,355.25445947265627,7.980000019073486,-26.939998626708984,-9.779999732971191
1679068602473479700,355.27447973632815,8.220000267028809,-27.059999465942383,-9.779999732971191
1679068602493437400,355.2944375,8.34000015258789,-27.18000030517578,-9.779999732971191
1679068602513456600,355.31445654296874,8.460000038146973,-26.69999885559082,-10.019999504089355
1679068602533476600,355.3344765625,8.460000038146973,-26.459999084472656,-10.139999389648438
1679068602553434600,355.3544345703125,8.15999984741211,-26.099998474121094,-10.260000228881836
1679068602573454600,355.37445458984377,7.859999656677246,-25.619998931884766,-10.079999923706055
1679068602593473500,355.3944736328125,7.440000057220459,-25.079999923706055,-9.779999732971191
1679068602613432600,355.4144326171875,7.259999752044678,-24.899999618530273,-9.420000076293945
1679068602634428700,355.4354287109375,7.37999963760376,-24.65999984741211,-9.479999542236328
1679068602654447600,355.45544750976563,7.079999923706055,-24.779998779296875,-9.479999542236328
1679068602674406700,355.47540673828127,6.899999618530273,-24.779998779296875,-9.119999885559082
1679068602694303500,355.4953034667969,6.899999618530273,-24.779998779296875,-9.239999771118164
1679068602714445600,355.5154455566406,6.839999675750732,-24.899999618530273,-9.300000190734863
1679068602735441700,355.5364416503906,6.659999847412109,-24.420000076293945,-9.059999465942383
1679068602755460600,355.5564606933594,6.659999847412109,-24.420000076293945,-9.239999771118164
1679068602775480600,355.57648046875,6.539999961853027,-24.239999771118164,-9.300000190734863
1679068602795438600,355.5964384765625,6.359999656677246,-24.239999771118164,-9.300000190734863
1679068602815458600,355.61645849609374,6.539999961853027,-23.939998626708984,-9.300000190734863
1679068602835477500,355.6364775390625,6.480000019073486,-23.939998626708984,-9.59999942779541
1679068602855436500,355.6564365234375,6.779999732971191,-24.65999984741211,-9.779999732971191
1679068602875455500,355.6764555664063,7.019999980926514,-24.899999618530273,-9.84000015258789
1679068602895475500,355.6964753417969,7.259999752044678,-25.260000228881836,-10.260000228881836
1679068602915433500,355.71643359375,7.859999656677246,-25.260000228881836,-9.899999618530273
1679068602935452700,355.73645263671875,7.739999771118164,-25.19999885559082,-9.899999618530273
1679068602955472600,355.75647265625,7.739999771118164,-25.01999855041504,-9.899999618530273
1679068602975430700,355.7764306640625,7.919999599456787,-25.260000228881836,-10.079999923706055
1679068602995450600,355.7964506835938,7.980000019073486,-25.139999389648438,-11.039999961853027
1679068603015469600,355.8164694824219,8.760000228881836,-25.260000228881836,-11.579999923706055
1679068603035428600,355.8364287109375,8.760000228881836,-25.68000030517578,-11.9399995803833
1679068603055447600,355.85644750976564,8.519999504089355,-25.260000228881836,-11.9399995803833
1679068603075467500,355.87646752929686,8.34000015258789,-25.559999465942383,-11.639999389648438
1679068603095486500,355.89648657226564,8.039999961853027,-25.19999885559082,-11.639999389648438
1679068603116482600,355.91748266601564,8.15999984741211,-25.079999923706055,-11.460000038146973
1679068603136441600,355.9374416503906,8.15999984741211,-25.559999465942383,-11.639999389648438
1679068603156460500,355.95746044921873,7.919999599456787,-25.799999237060547,-11.460000038146973
1679068603176421600,355.9774216308594,7.739999771118164,-25.979999542236328,-10.800000190734863
1679068603197478700,355.99847875976565,7.739999771118164,-25.799999237060547,-10.619999885559082
1679068603218474500,356.019474609375,7.559999942779541,-25.439998626708984,-10.019999504089355
1679068603240447500,356.04144750976565,7.559999942779541,-25.3799991607666,-9.779999732971191
1679068603260466400,356.0614665527344,7.259999752044678,-25.439998626708984,-9.779999732971191
1679068603281462500,356.0824626464844,7.440000057220459,-25.619998931884766,-9.420000076293945
1679068603302459600,356.10345971679686,7.319999694824219,-25.559999465942383,-9.239999771118164
1679068603322478600,356.123478515625,7.559999942779541,-25.5,-9.539999961853027
1679068603342436600,356.1434365234375,8.15999984741211,-25.85999870300293,-9.479999542236328
1679068603362456600,356.16345654296873,8.399999618530273,-25.979999542236328,-9.59999942779541
1679068603383452700,356.18445263671873,8.880000114440918,-26.639999389648438,-10.199999809265137
1679068603404448500,356.2054484863281,8.9399995803833,-26.579999923706055,-9.479999542236328
1679068603425444600,356.2264445800781,8.9399995803833,-26.459999084472656,-9.420000076293945
1679068603446440400,356.2474404296875,9,-26.81999969482422,-9.59999942779541
1679068603467436500,356.2684365234375,8.9399995803833,-26.939998626708984,-9.420000076293945
1679068603487456500,356.28845654296873,8.819999694824219,-27.479999542236328,-9.960000038146973
1679068603507475500,356.30847534179685,8.460000038146973,-27.35999870300293,-9.779999732971191
1679068603528471600,356.32947143554685,7.919999599456787,-26.51999855041504,-9.779999732971191
1679068603548430600,356.3494306640625,8.039999961853027,-26.15999984741211,-9.420000076293945
1679068603568449500,356.3694494628906,8.039999961853027,-26.099998474121094,-9.300000190734863
1679068603588469500,356.3894694824219,7.859999656677246,-26.03999900817871,-9.300000190734863
1679068603608427500,356.40942749023435,8.34000015258789,-26.399999618530273,-9.359999656677246
